zip,place,total_pop,cases,deaths,note
27849,Lewiston Woodville,1483,39,2,
27850,Littleton,7413,64,0,
27851,Lucama,5595,132,1,
27852,Macclesfield,3454,50,0,
27853,Margarettsville,436,12,0,
27855,Murfreesboro,6105,145,1,
27856,Nashville,17301,387,4,
27857,Oak City,1601,43,2,
27858,Greenville,58170,1847,7,
27860,Pantego,2062,45,1,
27862,Pendleton,945,9,1,
27863,Pikeville,12670,203,1,
27864,Pinetops,4823,113,2,
27865,Pinetown,2003,27,1,
27866,Pleasant Hill,672,22,1,
27869,Rich Square,2167,91,11,
27870,Roanoke Rapids,26633,521,15,
27871,Robersonville,4466,85,3,
27872,Roxobel,429,10,0,
27874,Scotland Neck,4766,90,1,
27875,Scranton,511,7,0,
27876,Seaboard,1290,30,1,
27880,Sims,3280,89,0,
27881,Speed,323,,,Population <500 and Cases <5
27882,Spring Hope,7927,279,3,
27883,Stantonsburg,4361,83,1,
27884,Stokes,1545,28,0,
27885,Swanquarter,859,55,3,
27886,Tarboro,21595,617,30,
27888,Walstonburg,2803,76,0,
27889,Washington,27543,681,23,
27890,Weldon,2398,51,3,
27891,Whitakers,5011,95,6,
27892,Williamston,14363,327,4,
27893,Wilson,40647,1290,34,
27896,Wilson,21212,442,13,
27897,Woodland,2467,56,1,
27909,Elizabeth City,40958,688,31,
27910,Ahoskie,11609,503,29,
27915,Avon,758,10,0,
27916,Aydlett,554,2,0,
27917,Barco,1084,4,0,
27919,Belvidere,1211,19,1,
27920,Buxton,1415,28,0,
27921,Camden,5366,55,3,
27922,Cofield,1107,29,0,
27923,Coinjock,990,2,0,
27924,Colerain,3509,85,1,
27925,Columbia,4164,114,3,
27926,Corapeake,1965,16,0,
27927,Corolla,613,5,0,
27928,Creswell,1888,49,1,
27929,Currituck,1949,8,0,
27932,Edenton,12644,309,3,
27935,Eure,1674,21,2,
27936,Frisco,961,10,1,
27937,Gates,4253,66,1,
27938,Gatesville,1430,17,0,
27939,Grandy,3370,13,0,
27941,Harbinger,670,5,0,
27942,Harrellsville,936,24,0,
27943,Hatteras,491,8,0,
27944,Hertford,12230,162,1,
27946,Hobbsville,1089,17,0,
27947,Jarvisburg,845,6,0,
27948,Kill Devil Hills,12518,100,0,
27949,Kitty Hawk,7235,47,0,
27950,Knotts Island,2183,7,0,
27953,Manns Harbor,992,7,0,
27954,Manteo,6405,52,0,
27956,Maple,328,,,Population <500 and Cases <5
27957,Merry Hill,1419,42,1,
27958,Moyock,12061,113,3,
27959,Nags Head,2451,21,1,
27960,Ocracoke,899,4,0,
27962,Plymouth,7439,102,3,
27964,Point Harbor,653,3,0,
27965,Poplar Branch,611,0,0,
27966,Powells Point,1473,6,0,
27968,Rodanthe,413,5,0,
27970,Roper,3214,68,4,
27972,Salvo,196,,,Population <500 and Cases <5
27973,Shawboro,1493,14,0,
27974,Shiloh,1375,10,0,
27976,South Mills,3561,46,0,
27978,Stumpy Point,221,,,Population <500 and Cases <5
27979,Sunbury,1813,13,0,
27980,Tyner,2075,77,1,
27981,Wanchese,1863,7,0,
27982,Waves,0,,,Population <500 and Cases <5
27983,Windsor,10633,296,5,
27986,Winton,2650,56,2,
28001,Albemarle,28360,937,43,
28006,Alexis,1136,22,0,
28012,Belmont,24276,556,4,
28016,Bessemer City,14526,260,3,
28018,Bostic,5943,65,0,
28020,Casar,2464,39,0,
28021,Cherryville,13436,316,10,
28023,China Grove,14843,266,1,
28025,Concord,55325,1127,19,
28027,Concord,74072,1422,24,
28031,Cornelius,31049,551,16,
28032,Cramerton,3249,74,0,
28033,Crouse,3362,84,1,
28034,Dallas,17859,451,11,
28036,Davidson,18554,307,6,
28037,Denver,23834,365,1,
28039,East Spencer,428,14,2,
28040,Ellenboro,8270,110,2,
28043,Forest City,21472,415,8,
28052,Gastonia,36823,1092,21,
28054,Gastonia,40184,1057,19,
28056,Gastonia,35595,757,8,
28071,Gold Hill,3198,68,2,
28073,Grover,5606,113,2,
28075,Harrisburg,19174,297,6,
28077,High Shoals,557,5,0,
28078,Huntersville,66079,1010,13,
28079,Indian Trail,39813,614,10,
28080,Iron Station,8157,113,2,
28081,Kannapolis,28249,580,7,
28083,Kannapolis,25877,591,12,
28086,Kings Mountain,26988,690,25,
28088,Landis,3059,60,0,
28090,Lawndale,8506,129,3,
28091,Lilesville,2353,49,0,
28092,Lincolnton,40052,864,7,
28097,Locust,6124,124,0,
28098,Lowell,4010,64,1,
28101,Mc Adenville,465,10,0,
28103,Marshville,11346,249,1,
28104,Matthews,32469,529,6,
28105,Matthews,45346,909,39,
28107,Midland,8210,153,3,
28110,Monroe,55536,1401,25,
28112,Monroe,28060,863,10,
28114,Mooresboro,9034,151,2,
28115,Mooresville,41536,533,4,
28117,Mooresville,47608,715,2,
28119,Morven,3034,77,1,
28120,Mount Holly,24318,447,6,
28124,Mount Pleasant,7015,117,4,
28125,Mount Ulla,2657,42,0,
28127,New London,7631,505,4,
28128,Norwood,8098,169,3,
28129,Oakboro,6031,119,3,
28133,Peachland,2713,53,0,
28134,Pineville,11817,318,2,
28135,Polkton,5968,120,0,
28137,Richfield,3843,83,0,
28138,Rockwell,11659,171,4,
28139,Rutherfordton,20134,395,17,
28144,Salisbury,25846,750,33,
28146,Salisbury,30382,592,10,
28147,Salisbury,26204,967,43,
28150,Shelby,29296,730,29,
28152,Shelby,26078,535,6,
28159,Spencer,3126,76,0,
28160,Spindale,4015,98,2,
28163,Stanfield,5814,72,0,
28164,Stanley,15447,246,3,
28166,Troutman,9868,140,1,
28167,Union Mills,2418,34,1,
28168,Vale,10437,232,4,
28170,Wadesboro,12494,307,5,
28173,Waxhaw,63837,1015,5,
28174,Wingate,9287,306,2,
28202,Charlotte,16755,458,0,
28203,Charlotte,19070,515,2,
28204,Charlotte,8738,283,3,
28205,Charlotte,51821,1663,29,
28206,Charlotte,15244,365,2,
28207,Charlotte,9761,210,1,
28208,Charlotte,39944,1274,11,
28209,Charlotte,26012,597,5,
28210,Charlotte,44704,1428,19,
28211,Charlotte,31253,679,28,
28212,Charlotte,42744,1853,21,
28213,Charlotte,45338,1617,18,
28214,Charlotte,41208,1173,7,
28215,Charlotte,60256,2197,20,
28216,Charlotte,58744,1509,16,
28217,Charlotte,30875,1518,6,
28223,Charlotte,2941,5,0,
28226,Charlotte,40227,803,14,
28227,Charlotte,57319,1667,16,
28262,Charlotte,43683,1028,13,
28269,Charlotte,81464,1786,19,
28270,Charlotte,34753,459,6,
28273,Charlotte,40544,1335,18,
28277,Charlotte,72020,1041,9,
28278,Charlotte,32539,633,2,
28301,Fayetteville,17717,498,27,
28303,Fayetteville,34600,411,4,
28304,Fayetteville,39651,663,12,
28305,Fayetteville,5010,93,2,
28306,Fayetteville,42565,697,5,
28307,Fort Bragg,15486,120,0,
28308,Pope Army Airfield,737,0,0,
28310,Fort Bragg,8861,255,0,
28311,Fayetteville,36046,633,4,
28312,Fayetteville,18419,297,3,
28314,Fayetteville,53642,893,9,
28315,Aberdeen,13329,273,3,
28318,Autryville,4579,75,1,
28320,Bladenboro,9381,141,1,
28323,Bunnlevel,4578,67,0,
28326,Cameron,22382,276,2,
28327,Carthage,18273,244,2,
28328,Clinton,26951,1184,18,
28333,Dudley,10709,411,9,
28334,Dunn,26215,648,5,
28337,Elizabethtown,11927,290,8,
28338,Ellerbe,4804,108,2,
28339,Erwin,7226,148,3,
28340,Fairmont,10738,428,19,
28341,Faison,5080,236,2,
28343,Gibson,1567,41,0,
28344,Godwin,3814,112,1,
28345,Hamlet,12656,287,6,
28347,Hoffman,1826,72,0,
28348,Hope Mills,36052,640,6,
28349,Kenansville,3955,161,12,
28350,Lakeview,70,9,0,
28351,Laurel Hill,5269,95,0,
28352,Laurinburg,25298,1018,12,
28356,Linden,4914,70,3,
28357,Lumber Bridge,3224,68,1,
28358,Lumberton,38517,1291,26,
28360,Lumberton,14944,504,6,
28363,Marston,1079,34,1,
28364,Maxton,15170,419,6,
28365,Mount Olive,17063,662,19,
28366,Newton Grove,5153,185,2,
28369,Orrum,2241,52,1,
28371,Parkton,7085,126,3,
28372,Pembroke,15254,509,4,
28373,Pinebluff,2552,47,1,
28374,Pinehurst,18171,256,8,
28375,Proctorville,155,,,Population <500 and Cases <5
28376,Raeford,43831,994,14,
28377,Red Springs,13036,496,12,
28379,Rockingham,25804,547,9,
28382,Roseboro,8006,160,0,
28383,Rowland,7713,242,2,
28384,Saint Pauls,12414,466,4,
28385,Salemburg,3005,62,0,
28386,Shannon,6068,327,6,
28387,Southern Pines,17139,260,6,
28390,Spring Lake,23494,319,6,
28391,Stedman,5326,78,0,
28392,Tar Heel,1554,62,1,
28393,Turkey,2160,78,1,
28394,Vass,6094,69,2,
28395,Wade,2657,40,0,
28396,Wagram,2679,67,2,
28398,Warsaw,7672,342,9,
28399,White Oak,1934,69,1,
28401,Wilmington,24213,475,8,
28403,Wilmington,41945,1154,3,
28405,Wilmington,33719,637,3,
28409,Wilmington,34974,525,6,
28411,Wilmington,38820,567,5,
28412,Wilmington,42977,622,6,
28420,Ash,5116,102,1,
28421,Atkinson,2040,19,0,
28422,Bolivia,8682,102,7,
28423,Bolton,2285,54,1,
28425,Burgaw,12625,228,4,
28428,Carolina Beach,7142,112,0,
28429,Castle Hayne,8542,106,0,
28430,Cerro Gordo,2055,38,1,
28431,Chadbourn,6741,184,8,
28432,Clarendon,1684,53,2,
28433,Clarkton,5297,90,0,
28434,Council,1357,18,0,
28435,Currie,2931,30,0,
28436,Delco,2312,42,0,
28438,Evergreen,1688,30,1,
28439,Fair Bluff,1536,46,4,
28441,Garland,3328,102,3,
28442,Hallsboro,1734,53,1,
28443,Hampstead,22483,311,1,
28444,Harrells,2278,101,0,
28445,Holly Ridge,8142,103,1,
28447,Ivanhoe,1334,76,0,
28448,Kelly,1216,20,1,
28449,Kure Beach,1958,22,0,
28450,Lake Waccamaw,2397,70,6,
28451,Leland,39194,475,3,
28452,Longwood,513,18,0,
28453,Magnolia,4137,307,6,
28454,Maple Hill,3549,25,0,
28455,Nakina,1718,50,2,
28456,Riegelwood,3566,108,1,
28457,Rocky Point,12840,236,2,
28458,Rose Hill,7018,311,6,
28460,Sneads Ferry,10588,163,1,
28461,Southport,20575,151,2,
28462,Supply,14309,174,5,
28463,Tabor City,9865,281,17,
28464,Teachey,2491,113,2,
28465,Oak Island,8285,60,0,
28466,Wallace,10375,383,7,
28467,Calabash,11393,146,3,
28468,Sunset Beach,5394,56,0,
28469,Ocean Isle Beach,7481,100,2,
28470,Shallotte,13446,214,3,
28472,Whiteville,20002,433,14,
28478,Willard,4976,110,0,
28479,Winnabow,4874,75,1,
28480,Wrightsville Beach,2737,97,0,
28501,Kinston,19507,271,6,
28504,Kinston,21016,419,18,
28508,Albertson,2984,115,2,
28510,Arapahoe,1543,15,0,
28511,Atlantic,628,2,0,
28512,Atlantic Beach,3689,22,1,
28513,Ayden,10825,214,1,
28515,Bayboro,3463,146,2,
28516,Beaufort,12482,103,3,
28518,Beulaville,8803,208,3,
28519,Bridgeton,328,5,0,
28520,Cedar Island,352,,,Population <500 and Cases <5
28521,Chinquapin,2259,51,2,
28523,Cove City,2274,47,2,
28524,Davis,443,,,Population <500 and Cases <5
28525,Deep Run,3309,47,1,
28526,Dover,2384,30,0,
28527,Ernul,905,10,0,
28528,Gloucester,640,0,0,
28529,Grantsboro,2539,54,0,
28530,Grifton,7474,133,1,
28531,Harkers Island,1414,7,0,
28532,Havelock,25868,209,3,
28533,Cherry Point,0,15,0,
28537,Hobucken,186,,,Population <500 and Cases <5
28538,Hookerton,3342,67,0,
28539,Hubert,18000,162,2,
28540,Jacksonville,52400,558,8,
28542,Camp Lejeune,6146,90,0,
28543,Tarawa Terrace,6618,42,2,
28544,Midway Park,5607,62,2,
28545,Mccutcheon Field,4010,15,0,
28546,Jacksonville,51963,532,4,
28547,Camp Lejeune,13868,234,0,
28551,La Grange,14265,315,6,
28552,Lowland,131,,,Population <500 and Cases <5
28553,Marshallberg,522,3,0,
28555,Maysville,4702,46,0,
28556,Merritt,1150,4,0,
28557,Morehead City,15254,190,0,
28560,New Bern,28926,555,22,
28561,New Bern,0,7,0,
28562,New Bern,38009,645,12,
28570,Newport,22687,273,1,
28571,Oriental,3137,19,0,
28572,Pink Hill,6379,129,3,
28573,Pollocksville,2475,71,12,
28574,Richlands,17702,245,4,
28577,Sealevel,595,5,0,
28578,Seven Springs,7044,268,3,
28579,Smyrna,798,7,0,
28580,Snow Hill,12031,299,5,
28581,Stacy,224,,,Population <500 and Cases <5
28582,Stella,1824,8,1,
28583,Stonewall,0,,,Population <500 and Cases <5
28584,Swansboro,12910,121,0,
28585,Trenton,4170,47,2,
28586,Vanceboro,8427,282,1,
28587,Vandemere,324,,,Population <500 and Cases <5
28590,Winterville,26551,579,6,
28594,Emerald Isle,3678,56,0,
28601,Hickory,49848,1068,15,
28602,Hickory,31218,657,21,
28604,Banner Elk,6449,50,0,
28605,Blowing Rock,4143,32,0,
28606,Boomer,2367,30,0,
28607,Boone,37481,673,1,
28609,Catawba,6457,93,0,
28610,Claremont,10238,166,1,
28611,Collettsville,978,18,0,
28612,Connelly Springs,14906,222,11,
28613,Conover,25216,530,8,
28615,Creston,1883,24,0,
28617,Crumpler,2451,37,0,
28618,Deep Gap,2480,26,0,
28621,Elkin,10400,264,11,
28622,Elk Park,2638,31,0,
28623,Ennice,1716,38,0,
28624,Ferguson,1893,36,1,
28625,Statesville,38862,785,16,
28626,Fleetwood,3001,13,0,
28627,Glade Valley,1534,8,0,
28629,Glendale Springs,63,,,Population <500 and Cases <5
28630,Granite Falls,20369,443,6,
28631,Grassy Creek,536,23,0,
28634,Harmony,5269,89,1,
28635,Hays,4032,57,3,
28636,Hiddenite,5186,85,4,
28637,Hildebran,1583,38,0,
28638,Hudson,12560,249,0,
28640,Jefferson,4805,37,0,
28642,Jonesville,5578,109,2,
28643,Lansing,3443,21,0,
28644,Laurel Springs,1570,9,0,
28645,Lenoir,47621,947,12,
28646,Linville,463,14,0,
28649,Mc Grady,1034,11,0,
28650,Maiden,13374,254,2,
28651,Millers Creek,6653,100,2,
28654,Moravian Falls,3800,72,2,
28655,Morganton,58249,1522,24,
28657,Newland,9610,77,0,
28658,Newton,25858,583,7,
28659,North Wilkesboro,21013,450,6,
28660,Olin,2336,39,0,
28663,Piney Creek,715,3,0,
28665,Purlear,2986,32,1,
28667,Rhodhiss,105,11,0,
28668,Roaring Gap,39,,,Population <500 and Cases <5
28669,Roaring River,3133,35,0,
28670,Ronda,3183,38,2,
28672,Scottville,35,,,Population <500 and Cases <5
28673,Sherrills Ford,6621,89,0,
28675,Sparta,6805,178,0,
28676,State Road,3444,48,0,
28677,Statesville,35614,763,9,
28678,Stony Point,5252,56,0,
28679,Sugar Grove,2122,12,0,
28681,Taylorsville,26959,365,3,
28682,Terrell,1099,7,0,
28683,Thurmond,1934,21,0,
28684,Todd,2175,13,1,
28685,Traphill,1908,27,0,
28689,Union Grove,1662,31,0,
28690,Valdese,9427,162,4,
